server_generation,latency_sensitivity,elasticity
CPU.S1,low,-1.033826729
CPU.S2,low,-1.699801995
CPU.S3,low,-1.432123448
CPU.S4,low,-1.929676045
GPU.S1,low,-1.284143064
GPU.S2,low,-1.12677503
GPU.S3,low,-1.217129395
CPU.S1,medium,-1.25517248
CPU.S2,medium,-1.455615114
CPU.S3,medium,-2.225752138
CPU.S4,medium,-2.183739571
GPU.S1,medium,-1.18154303
GPU.S2,medium,-1.993403965
GPU.S3,medium,-1.73444179
CPU.S1,high,-1.93128659
CPU.S2,high,-2.612704029
CPU.S3,high,-2.290795716
CPU.S4,high,-2.046968453
GPU.S1,high,-2.682528694
GPU.S2,high,-2.741092168
GPU.S3,high,-2.177606694
